Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,,,,,,,,,,,,,,,,,,,o
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,3,Breakthru,Back Bar,Tue,3,No,,,,,,,,,,,,,,,,,,,
Bitters,Angostura,16oz,4,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,,,,,,
Bitters,Orange Bitters,Reagan's,0,,,,0,No,,,,,,,,,,,,,,,,,,,
Garnish,Olives,,3.5,Chef's Warehouse,Kitchen,"Mon, Thur",2,No,,,,,,,,,,,,,,,,,,,
Garnish,Lemon,,2,Chef's Warehouse,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,,,,,,
Garnish,Strawberries,,7,Chef's Warehouse,Walk-in,"Mon, Thur",4,No,,,,,,,,,,,,,,,,,,,
Garnish,Apples,,1.1,Chef's Warehouse,Walk-in,"Mon, Thur",0.5,No,,,,,,,,,,,,,,,,,,,
Garnish,Lime,,0.75,Chef's Warehouse,Walk-in,"Mon, Thur",1,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Orange,,0.75,Chef's Warehouse,Walk-in,"Mon, Thur",1,Yes,,,,,,,,,,,,,,686,,,,,
Garnish,Rosemary,,2,Chef's Warehouse,Walk-in,"Mon, Thur",2,No,,,,,,,,,,,,,,,,,,,
Garnish,Pineapple,,0,Chef's Warehouse,Walk-in,"Mon, Thur",3,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,4,Southern,Dry Storage,Mon,0.5,No,,,,,,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,2,Southern,Dry Storage,Mon,0.25,No,,,,,,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,0,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,Yes,,,,,,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,4,Breakthru,Dry Storage,Wed,3,No,,,,,,,,,,,,,,,,,,,
Juice,Cranberry Juice,Ocean Spray,9,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,,,,,,
Juice,Grapefruit Juice,Ocean Spray,11,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,5,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,,,,,,
Juice,Orange Juice,,5,Chef's Warehouse,Walk-in,"Mon, Thur",4,No,,,,,,,,,,,,,,,,,,,
Juice,Lime Juice,,15,Chef's Warehouse,Walk-in,"Mon, Thur",6,No,,,,,,,,,,,,,,,,,,,
Juice,Lemon Juice,,7,Chef's Warehouse,Walk-in,"Mon, Thur",6,No,,,,,,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,0,Southern,Dry Storage,Mon,0,No,,,,,,,,,,,,,,,,,,,
Keg,Miller Lite,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Keg,Summer Shandy,,0,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,w)R~vu;jyuQ3dOzWaP1$,,,,,,,,
