Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,,,,,,
Bitters,Angostura,16oz,,Southern,Bar,Mon,0.5,Yes,$25.32,,$1.58,,,,,,,,,,,,,,,,
Bitters,Orange Bitters 4oz,Angostura,,Southern,Bar,"Tues, Thur",0.1,Yes,$11.57,,$2.89,,,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,,Southern,Dry Storage,Mon,1,Yes,$33.33,$200.00,,,,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,,Southern,Dry Storage,Mon,4,Yes,$86.25,$345.00,,,,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,,Southern,Dry Storage,Mon,0,No,$40.00,$240.00,,,,,,,,,,,,,,,,,
Mixers,Ginger Beer,Gosling's,,Southern,Dry Storage,Mon,2,Yes,$6.69,$26.75,$0.09,,,,,,,,,,,,,,,,
Mixers,Agave Nectar,Tres Agave 1L,,Southern,Bar,Mon,3,Yes,$12.00,$144.00,$0.35,,,,,,,,,,,,,,,,
Red Wine,Real Sangria,,,Southern,Walk-In,Mon,24,Yes,$6.75,$81.00,$0.27,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Seaglass,,Southern,Wine Wall,Mon,8,Yes,$10.00,$120.00,$0.39,,,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Banshee,,Southern,Wine Wall,Mon,6,Yes,$14.00,$84.00,$0.55,,,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Davis Bynum,,Southern,Wine Wall,Mon,4,Yes,$16.00,$96.00,$0.63,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Caymus,,Southern,Wine Wall,Mon,6,Yes,$25.00,$300.00,$0.99,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Harvey & Harriet,,Southern,Wine Wall,Mon,4,Yes,,,,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Prisoner,,Southern,Wine Wall,Mon,6,Yes,$25.00,$300.00,$0.99,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Charles Krug,,Southern,Wine Wall,Mon,4,Yes,,,,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Palisades,,Southern,Wine Wall,Mon,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Sweet Vermouth,Tribuno,,Southern,Bar,Mon,6,Yes,$12.79,,$0.38,,,,,,,,,,,,,,,,
